Time;Symbol;CurrentPrice;M15MA7;M15MA13;M15MA26;M15MA52;M15MA104;M15MA208;M15BOLL132U;M15BOLL132L;M15KDJ853M;M15KDJ853S;M15RSI14;M15MA180;M15MA360;M15MA540;H1MA7;H1MA13;H1MA26;H1MA52;H1MA104;H1MA208;H1BOLL132U;H1BOLL132L;H1KDJ853M;H1KDJ853S;H1RSI14;H1MA180;H1MA360;H1MA540;H4KDJ853M;iBOLL;zM15KDJ;zH1KDJ
2015.02.24 15:57:02;EURUSD;1.13342;1.13286;1.13237;1.13186;1.13258;1.13286;1.13419;1.13397;1.13077;68;77;61;1.13448;1.13593;1.1367;1.13197;1.13257;1.13291;1.13427;1.13613;1.13729;1.13479;1.13036;72;38;51;1.13757;1.13726;1.13485;29;0;0;20
2015.02.24 15:57:21;EURUSD;1.13362;1.13289;1.13238;1.13186;1.13258;1.13287;1.13419;1.13402;1.13074;72;78;62;1.13448;1.13593;1.1367;1.132;1.13259;1.13291;1.13428;1.13613;1.13729;1.13483;1.13035;74;38;52;1.13757;1.13726;1.13485;30;0;10;20

Time;Symbol;CurrentPrice;M15MA7;M15MA13;M15MA26;M15MA52;M15MA104;M15MA208;M15BOLL132U;M15BOLL132L;M15KDJ853M;M15KDJ853S;M15RSI14;M15MA180;M15MA360;M15MA540;H1MA7;H1MA13;H1MA26;H1MA52;H1MA104;H1MA208;H1BOLL132U;H1BOLL132L;H1KDJ853M;H1KDJ853S;H1RSI14;H1MA180;H1MA360;H1MA540;H4KDJ853M;iBOLL;zM15KDJ;zH1KDJ
2015.02.24 06:52:02;EURUSD;1.13377;1.13334;1.13331;1.13339;1.13354;1.13383;1.13476;1.13403;1.1326;88;67;55;1.13452;1.13634;1.13699;1.1334;1.1335;1.1338;1.13485;1.13685;1.13721;1.1346;1.13239;44;40;49;1.13796;1.13732;1.13493;36;0;15;0
2015.02.24 06:52:07;EURUSD;1.13377;1.13334;1.13331;1.13339;1.13354;1.13383;1.13476;1.13403;1.1326;88;67;55;1.13452;1.13634;1.13699;1.1334;1.1335;1.1338;1.13485;1.13685;1.13721;1.1346;1.13239;44;40;49;1.13796;1.13732;1.13493;36;0;15;0
2015.02.24 06:52:47;EURUSD;1.13376;1.13334;1.13331;1.13339;1.13354;1.13383;1.13476;1.13403;1.1326;88;67;54;1.13452;1.13634;1.13699;1.13339;1.1335;1.1338;1.13485;1.13685;1.13721;1.1346;1.13239;43;40;49;1.13796;1.13732;1.13493;36;0;15;0
2015.02.24 06:53:09;EURUSD;1.13376;1.13334;1.13331;1.13339;1.13354;1.13383;1.13476;1.13403;1.1326;88;67;54;1.13452;1.13634;1.13699;1.13339;1.1335;1.1338;1.13485;1.13685;1.13721;1.1346;1.13239;43;40;49;1.13796;1.13732;1.13493;36;0;15;0
2015.02.24 06:53:29;EURUSD;1.13379;1.13334;1.13331;1.13339;1.13354;1.13383;1.13476;1.13403;1.1326;88;67;55;1.13452;1.13634;1.13699;1.1334;1.1335;1.1338;1.13485;1.13685;1.13721;1.13461;1.13239;44;40;49;1.13796;1.13732;1.13493;36;0;15;0
2015.02.24 06:53:49;EURUSD;1.13379;1.13334;1.13331;1.13339;1.13354;1.13383;1.13476;1.13403;1.1326;88;67;55;1.13452;1.13634;1.13699;1.1334;1.1335;1.1338;1.13485;1.13685;1.13721;1.13461;1.13239;44;40;49;1.13796;1.13732;1.13493;36;0;15;0
