Time;Symbol;CurrentPrice;M15MA7;M15MA13;M15MA26;M15MA52;M15MA104;M15MA208;M15BOLL132U;M15BOLL132L;M15KDJ853M;M15KDJ853S;M15RSI14;M15MA180;M15MA360;M15MA540;H1MA7;H1MA13;H1MA26;H1MA52;H1MA104;H1MA208;H1BOLL132U;H1BOLL132L;H1KDJ853M;H1KDJ853S;H1RSI14;H1MA180;H1MA360;H1MA540;H4KDJ853M;iBOLL;zM15KDJ;zH1KDJ
2015.02.23 06:58:28;EURUSD;1.13822;1.13827;1.13834;1.13796;1.13805;1.13582;1.13735;1.13892;1.13776;20;30;52;1.1367;1.1382;1.13828;1.13802;1.13811;1.136;1.13739;1.13787;1.13699;1.13951;1.13671;51;43;55;1.13787;1.13731;1.13601;66;0;;
2015.02.23 06:58:58;EURUSD;1.13823;1.13827;1.13834;1.13796;1.13805;1.13582;1.13735;1.13892;1.13776;20;30;52;1.1367;1.1382;1.13828;1.13803;1.13811;1.136;1.13739;1.13787;1.13699;1.13951;1.13671;51;43;55;1.13787;1.13731;1.13601;66;0;;
2015.02.23 06:59:28;EURUSD;1.13823;1.13827;1.13834;1.13796;1.13805;1.13582;1.13735;1.13892;1.13776;20;30;52;1.1367;1.1382;1.13828;1.13803;1.13811;1.136;1.13739;1.13787;1.13699;1.13951;1.13671;51;43;55;1.13787;1.13731;1.13601;66;0;;
2015.02.23 06:59:56;EURUSD;1.13823;1.13827;1.13834;1.13796;1.13805;1.13582;1.13735;1.13892;1.13776;20;30;52;1.1367;1.1382;1.13828;1.13803;1.13811;1.136;1.13739;1.13787;1.13699;1.13951;1.13671;51;43;55;1.13787;1.13731;1.13601;66;0;;
2015.02.23 07:00:28;EURUSD;1.13823;1.13824;1.13838;1.13796;1.13807;1.13583;1.13734;1.13883;1.13792;15;24;52;1.13669;1.1382;1.13827;1.13804;1.1382;1.13606;1.13732;1.1379;1.13703;1.13943;1.13698;56;44;55;1.13792;1.13733;1.13597;66;0;;
2015.02.23 07:00:57;EURUSD;1.13823;1.13824;1.13838;1.13796;1.13807;1.13583;1.13734;1.13883;1.13792;15;24;52;1.13669;1.1382;1.13827;1.13804;1.1382;1.13606;1.13732;1.1379;1.13703;1.13943;1.13698;56;44;55;1.13792;1.13733;1.13597;66;0;;
2015.02.23 07:01:28;EURUSD;1.13822;1.13824;1.13837;1.13796;1.13807;1.13583;1.13734;1.13883;1.13792;14;24;51;1.13669;1.1382;1.13827;1.13804;1.1382;1.13606;1.13732;1.1379;1.13703;1.13943;1.13697;56;44;55;1.13792;1.13733;1.13597;66;0;;
2015.02.23 07:01:58;EURUSD;1.13821;1.13823;1.13837;1.13796;1.13807;1.13583;1.13734;1.13883;1.13792;14;24;51;1.13669;1.1382;1.13827;1.13804;1.1382;1.13606;1.13732;1.1379;1.13703;1.13943;1.13697;56;44;55;1.13792;1.13733;1.13597;66;0;;
2015.02.23 07:02:28;EURUSD;1.13814;1.13822;1.13837;1.13795;1.13807;1.13583;1.13734;1.13884;1.13789;13;23;50;1.13669;1.1382;1.13827;1.13803;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13696;55;44;55;1.13792;1.13733;1.13597;65;0;;
2015.02.23 07:02:57;EURUSD;1.13814;1.13822;1.13837;1.13795;1.13807;1.13583;1.13734;1.13884;1.13789;13;23;50;1.13669;1.1382;1.13827;1.13803;1.13819;1.13605;1.13732;1.1379;1.13703;1.13942;1.13696;55;44;55;1.13792;1.13733;1.13597;65;0;;
